2025-04-15 16:10:30.6184 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The file /_framework/Microsoft.AspNetCore.Components.Web.wasm.gz was not modified 
2025-04-15 16:10:30.6184 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.6184 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.6184 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.Components.wasm.gz - 304 - application/wasm 3.5862ms 
2025-04-15 16:10:30.6184 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.Components.Web.wasm.gz - 304 - application/wasm 1.0016ms 
2025-04-15 16:10:30.6271 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The file /_framework/Microsoft.AspNetCore.Components.Forms.wasm.gz was not modified 
2025-04-15 16:10:30.6271 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.6271 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.Components.Forms.wasm.gz - 304 - application/wasm 11.5399ms 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.Components.WebAssembly.wasm - - - 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.Http.Connections.Client.wasm - - - 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.Connections.Abstractions.wasm - - - 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.SignalR.Client.wasm - - - 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The file /_framework/Microsoft.AspNetCore.Http.Connections.Client.wasm.gz was not modified 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The file /_framework/Microsoft.AspNetCore.Components.WebAssembly.wasm.gz was not modified 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.Components.WebAssembly.wasm.gz - 304 - application/wasm 1.1384ms 
2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.Http.Connections.Client.wasm.gz - 304 - application/wasm 1.1386ms 
